r1_s1,r2_s1,r3_s1,r4_s1,r5_s1,r6_s1,r7_s1,r8_s1,r9_s1,r10_s1,r11_s1,r12_s1,r13_s1,r14_s1,r15_s1,r16_s1,r17_s1,r18_s1,r19_s1,r20_s1,r21_s1,r22_s1,r23_s1,r24_s1,r25_s1,r26_s1,r27_s1,r28_s1,r29_s1,r30_s1,r31_s1,r32_s1,r33_s1,r34_s1,r35_s1,c1_s1,c2_s1,c3_s1,c4_s1,o1_s1,outside_s1,r1_s2,r2_s2,r3_s2,r4_s2,r5_s2,r6_s2,r7_s2,r8_s2,r9_s2,r10_s2,r11_s2,r12_s2,r13_s2,r14_s2,r15_s2,r16_s2,r17_s2,r18_s2,r19_s2,r20_s2,r21_s2,r22_s2,r23_s2,r24_s2,r25_s2,r26_s2,r27_s2,r28_s2,r29_s2,r30_s2,r31_s2,r32_s2,r33_s2,r34_s2,r35_s2,c1_s2,c2_s2,c3_s2,c4_s2,o1_s2,outside_s2,r1_s3,r2_s3,r3_s3,r4_s3,r5_s3,r6_s3,r7_s3,r8_s3,r9_s3,r10_s3,r11_s3,r12_s3,r13_s3,r14_s3,r15_s3,r16_s3,r17_s3,r18_s3,r19_s3,r20_s3,r21_s3,r22_s3,r23_s3,r24_s3,r25_s3,r26_s3,r27_s3,r28_s3,r29_s3,r30_s3,r31_s3,r32_s3,r33_s3,r34_s3,r35_s3,c1_s3,c2_s3,c3_s3,c4_s3,o1_s3,outside_s3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9886858137510879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00975609756097561,0.0,0.0,0.0,0.0,0.0,0.0,0.00037167812674224123,0.0007092198581560284,0.004971002485501243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052631578947368474,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003245699448231094,0.0,0.0,0.0001967729240456513,0.0,0.9372384937238494,0.0009132420091324201,0.0,0.0,0.0006648936170212766,0.0,0.0,0.0,0.0,0.0,0.02608695652173913,0.0,0.00390625,0.002777777777777778,0.0035335689045936395,0.0,0.0,0.0,0.0,0.0,0.0018181818181818182,0.0,0.0,0.0,0.0,0.0,0.0016570008285004142,0.00039832702648874725,0.0005747126436781609,0.06896551724137931,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.5925925925925926,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01650943396226415,0.015151515151515152,0.0009737098344693282,0.0,0.0345679012345679,0.0003935458480913026,0.0,0.0,0.9296803652968036,0.0030303030303030303,0.0,0.0,0.0,0.0,0.0006706908115358819,0.003472222222222222,0.0,0.0,0.002403846153846154,0.07421875,0.003472222222222222,0.007067137809187279,0.0013404825737265416,0.0,0.004878048780487805,0.0,0.0005633802816901409,0.0018181818181818182,0.0006230529595015577,0.0,0.0,0.0007433562534844825,0.005673758865248227,0.006628003314001657,0.0011949810794662419,0.0022988505747126436,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.5,0.0,0,0.0,0.5,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023584905660377358,0.0,0.0,0.0,0.0,0.0001967729240456513,0.0,0.0,0.0018264840182648401,0.9727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0234375,0.0,0.0035335689045936395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018583906337112061,0.0007092198581560284,0.0008285004142502071,0.00019916351324437363,0.0005747126436781609,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0047169811320754715,0.0,0.0,0.0,0.0,0.0007870916961826052,0.0,0.0041841004184100415,0.0,0.0,0.984295415959253,0.0,0.0014577259475218659,0.0,0.002012072434607646,0.0,0.0,0.0,0.002403846153846154,0.00390625,0.0,0.0035335689045936395,0.0,0.0,0.0,0.005917159763313609,0.0,0.0,0.0,0.0,0.0,0.00018583906337112061,0.0014184397163120568,0.014913007456503728,0.00019916351324437363,0.0017241379310344827,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.6666666666666667,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.09523809523809523,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003245699448231094,0.0,0.0,0.0001967729240456513,0.0,0.0,0.0,0.0,0.0,0.9800531914893617,0.0,0.0022522522522522522,0.0,0.0,0.0,0.0,0.002403846153846154,0.0,0.0,0.0035335689045936395,0.0,0.0,0.0,0.0,0.0,0.0018181818181818182,0.0006230529595015577,0.0010683760683760685,0.0,0.0,0.0007092198581560284,0.013256006628003313,0.00019916351324437363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,1,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.8461538461538461,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.023809523809523808,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023584905660377358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009132420091324201,0.0,0.0,0.0006648936170212766,0.9708454810495627,0.0022522522522522522,0.0,0.0,0.0,0.0,0.0,0.0,0.0006944444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018583906337112061,0.0007092198581560284,0.007456503728251864,0.0,0.0011494252873563218,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.5,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.03571428571428571,0.047619047619047616,0.0,0.034482758620689655,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.023809523809523808,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001967729240456513,0.0,0.0,0.0,0.0,0.0,0.0006648936170212766,0.0,0.963963963963964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005633802816901409,0.0,0.0,0.0010683760683760685,0.0,0.00018583906337112061,0.0014184397163120568,0.007456503728251864,0.0,0.0005747126436781609,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,1,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.03571428571428571,0.09523809523809523,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.96875,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003245699448231094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9711602951039571,0.0,0.0,0.0,0.0,0.0,0.001388888888888889,0.007067137809187279,0.0013404825737265416,0.0,0.0,0.0,0.0,0.0018181818181818182,0.0,0.0,0.0,0.00018583906337112061,0.0014184397163120568,0.01739850869925435,0.00019916351324437363,0.0017241379310344827,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,1,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.047619047619047616,0.0,0.034482758620689655,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008849557522123894,0.0,0.0,0,0,0.0,0.0,0.07692307692307693,0.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001967729240456513,0.0,0.0,0.0,0.0,0.0,0.0,0.0014577259475218659,0.0022522522522522522,0.0,0.9513888888888888,0.0015060240963855422,0.0,0.0,0.00390625,0.0006944444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0018181818181818182,0.0,0.0010683760683760685,0.0,0.00018583906337112061,0.0007092198581560284,0.00579950289975145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.1111111111111111,0,0.0,0.0,0,0.0,0,0.5,0,0,1,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
